Geneid	Length	C1	C2	IL8_1	IL8_2
ENSMUSG00000101476	681	1	0	0	0
ENSMUSG00000101171	644	0	0	0	0
ENSMUSG00000025935	2938	1823	1105	974	910
ENSMUSG00000025937	4494	1129	638	485	420
ENSMUSG00000102982	1266	16	10	8	10
ENSMUSG00000067813	1926	0	1	0	0
ENSMUSG00000077368	131	0	0	0	0
ENSMUSG00000097711	997	1	0	0	1
ENSMUSG00000102166	2249	0	0	0	0
ENSMUSG00000089358	308	0	0	0	0
ENSMUSG00000104209	3605	0	0	0	0
ENSMUSG00000025932	4481	999	606	458	430
ENSMUSG00000095853	100	0	0	0	0
ENSMUSG00000102588	439	0	0	0	1
ENSMUSG00000054493	3566	1	0	0	0
ENSMUSG00000025930	1741	11	5	0	2
ENSMUSG00000103492	4321	1	0	0	0
ENSMUSG00000081201	288	0	0	0	0
ENSMUSG00000082193	894	0	0	0	0
ENSMUSG00000032769	4263	0	0	0	0
ENSMUSG00000088159	120	0	0	0	0
ENSMUSG00000073737	996	1	2	1	2
ENSMUSG00000092083	15165	0	0	0	0
ENSMUSG00000102937	1533	0	0	0	0
ENSMUSG00000104149	2089	0	0	0	0
ENSMUSG00000088829	112	0	0	0	0
ENSMUSG00000077377	132	0	0	0	0
ENSMUSG00000101652	251	0	0	0	0
ENSMUSG00000100814	100	0	0	0	0
ENSMUSG00000025925	2268	219	124	145	127
ENSMUSG00000104379	3169	1	0	0	0
ENSMUSG00000032719	2748	0	0	0	0
ENSMUSG00000088943	303	0	0	0	0
ENSMUSG00000100652	553	0	0	0	0
ENSMUSG00000067795	2063	0	3	0	0
ENSMUSG00000043716	1163	11225	7933	6374	6288
ENSMUSG00000025921	3587	514	244	110	107
ENSMUSG00000104165	2321	0	0	0	0
ENSMUSG00000100868	1515	0	0	0	0
ENSMUSG00000025920	6582	386	253	202	153
ENSMUSG00000089982	1003	0	0	1	0
ENSMUSG00000025939	2181	875	647	434	364
ENSMUSG00000102457	2980	0	2	0	0
ENSMUSG00000079658	2402	988	640	385	353
ENSMUSG00000097744	2788	4	1	2	1
ENSMUSG00000100959	683	2	1	0	0
ENSMUSG00000025940	1716	582	416	258	219
ENSMUSG00000025779	632	97	63	59	81
ENSMUSG00000100093	419	0	0	0	0
ENSMUSG00000091020	1860	20	8	2	5
ENSMUSG00000101640	176	0	0	0	0
ENSMUSG00000104133	827	0	0	0	0
ENSMUSG00000042686	4809	628	423	213	188
ENSMUSG00000100110	359	0	0	0	0
ENSMUSG00000025777	3949	5	0	0	0
ENSMUSG00000099899	1011	0	0	0	0
ENSMUSG00000100272	379	0	0	0	0
ENSMUSG00000100398	472	0	1	0	0
ENSMUSG00000101589	2870	0	0	0	0
ENSMUSG00000102048	486	0	0	0	0
ENSMUSG00000089534	111	0	0	0	0
ENSMUSG00000067780	6923	1938	1153	79	74
ENSMUSG00000100053	4218	4	2	0	0
ENSMUSG00000085125	8345	3	1	0	0
ENSMUSG00000025776	4515	44	21	2	5
ENSMUSG00000099895	629	0	0	1	0
ENSMUSG00000100554	1399	0	0	0	0
ENSMUSG00000099473	586	0	0	0	0
ENSMUSG00000099591	2557	0	0	0	0
ENSMUSG00000102001	199	0	0	0	0
ENSMUSG00000101717	741	0	0	0	0
ENSMUSG00000025774	1369	0	0	0	0
ENSMUSG00000070977	219	0	0	0	0
ENSMUSG00000073735	258	0	0	0	0
ENSMUSG00000067773	610	60	47	17	15
ENSMUSG00000101685	985	8	2	4	1
ENSMUSG00000101738	580	1	0	0	0
ENSMUSG00000101306	909	0	0	0	0
ENSMUSG00000088800	72	0	0	0	0
ENSMUSG00000101644	112	0	0	0	0
ENSMUSG00000099433	279	0	0	0	0
ENSMUSG00000089787	918	0	0	0	0
ENSMUSG00000042596	1761	0	0	0	0
ENSMUSG00000100720	545	157	95	57	47
ENSMUSG00000025927	6233	0	0	2	0
ENSMUSG00000100538	202	0	0	0	0
ENSMUSG00000101117	472	0	0	0	0
ENSMUSG00000100204	2246	0	0	0	1
ENSMUSG00000084668	65	0	0	0	0
ENSMUSG00000102597	2499	0	0	0	0
ENSMUSG00000043760	12935	72	63	18	8
ENSMUSG00000104095	3479	0	0	0	0
ENSMUSG00000089914	788	0	0	0	0
ENSMUSG00000090142	553	2	0	0	0
ENSMUSG00000070175	102	0	0	0	0
ENSMUSG00000065559	73	0	1	0	1
ENSMUSG00000099906	5276	1600	1060	36	41
ENSMUSG00000065480	119	0	0	0	0
ENSMUSG00000025929	1171	0	0	0	0
ENSMUSG00000041872	1178	0	0	0	0
ENSMUSG00000041859	3031	543	320	232	239
ENSMUSG00000099714	1186	0	0	0	0
ENSMUSG00000102121	833	0	0	0	0
ENSMUSG00000088858	132	0	0	0	0
ENSMUSG00000097934	1120	0	0	1	0
ENSMUSG00000025931	5488	38	27	15	11
ENSMUSG00000077314	131	0	0	0	0
ENSMUSG00000100929	858	0	0	0	0
ENSMUSG00000041809	2146	19	20	13	16
ENSMUSG00000041779	6492	1071	652	390	343
ENSMUSG00000099971	546	0	0	0	0
ENSMUSG00000100819	571	1	0	0	0
ENSMUSG00000025933	1351	60	41	10	17
ENSMUSG00000102633	2100	0	0	0	0
ENSMUSG00000025934	1552	70	36	62	63
ENSMUSG00000099343	633	0	0	0	0
ENSMUSG00000096375	366	1	2	1	1
ENSMUSG00000025936	1219	0	0	0	0
ENSMUSG00000093963	439	0	0	0	0
ENSMUSG00000067750	1987	0	0	0	0
ENSMUSG00000086194	371	0	0	0	0
ENSMUSG00000094436	228	0	0	0	0
ENSMUSG00000041722	1946	0	0	0	0
ENSMUSG00000085507	350	0	0	0	0
ENSMUSG00000094926	228	0	0	0	0
ENSMUSG00000085079	2236	0	0	0	0
ENSMUSG00000085679	196	0	0	0	0
ENSMUSG00000028033	6980	0	0	0	0
ENSMUSG00000104138	2327	0	0	0	0
ENSMUSG00000082935	1124	18	21	12	13
ENSMUSG00000103748	1567	0	0	0	0
ENSMUSG00000097109	2095	0	1	1	0
ENSMUSG00000099692	552	0	0	0	0
ENSMUSG00000100418	447	0	0	0	0
ENSMUSG00000041670	6532	0	0	1	0
ENSMUSG00000097642	802	0	0	0	0
ENSMUSG00000101468	921	0	0	0	0
ENSMUSG00000101227	2078	0	0	0	0
ENSMUSG00000073730	1781	0	0	0	0
ENSMUSG00000089553	121	0	0	0	0
ENSMUSG00000102766	723	0	0	0	0
ENSMUSG00000065405	71	0	0	0	0
ENSMUSG00000097970	399	2	4	0	1
ENSMUSG00000065567	84	0	0	0	0
ENSMUSG00000100775	347	2	0	0	1
ENSMUSG00000101226	644	0	0	0	0
ENSMUSG00000026158	4844	71	42	59	53
ENSMUSG00000097920	989	0	0	0	0
ENSMUSG00000099503	778	0	0	0	0
ENSMUSG00000026156	6203	36	24	29	20
ENSMUSG00000026155	2316	369	279	243	201
ENSMUSG00000026154	683	263	165	83	79
ENSMUSG00000102495	390	0	1	0	0
ENSMUSG00000026153	6139	1052	666	668	606
ENSMUSG00000102398	2800	3	0	0	1
ENSMUSG00000097670	867	0	0	0	0
ENSMUSG00000026147	4105	0	0	0	0
ENSMUSG00000026141	4428	4	7	2	2
ENSMUSG00000077463	137	0	0	0	0
ENSMUSG00000099997	1337	0	0	0	0
ENSMUSG00000100131	876	2	1	1	0
ENSMUSG00000067736	294	11	3	1	2
ENSMUSG00000101939	345	47	19	28	16
ENSMUSG00000101111	783	5	2	0	3
ENSMUSG00000100862	678	4	1	0	1
ENSMUSG00000102070	681	6	3	3	6
ENSMUSG00000101249	492	12	2	2	6
ENSMUSG00000073725	5542	1219	687	865	753
ENSMUSG00000100808	661	0	0	0	0
ENSMUSG00000100483	1216	0	0	0	0
ENSMUSG00000100450	816	0	0	0	0
ENSMUSG00000099392	448	0	0	0	0
ENSMUSG00000033569	5874	0	0	0	0
ENSMUSG00000080849	444	0	0	0	0
ENSMUSG00000104257	1551	0	0	0	0
ENSMUSG00000096866	107	0	0	0	0
ENSMUSG00000102296	1031	0	0	0	0
ENSMUSG00000103209	3375	0	0	0	0
ENSMUSG00000104027	3433	0	0	0	0
ENSMUSG00000102407	2533	0	0	0	0
ENSMUSG00000103214	3105	0	0	0	0
ENSMUSG00000104100	3257	0	0	0	0
ENSMUSG00000084740	104	0	0	0	0
ENSMUSG00000103889	2935	0	0	0	0
ENSMUSG00000101301	570	0	0	0	0
ENSMUSG00000104221	2943	0	0	0	0
ENSMUSG00000102250	3995	0	0	0	0
ENSMUSG00000102317	5440	0	0	0	0
ENSMUSG00000103563	2741	0	0	0	0
ENSMUSG00000102465	3581	0	0	0	0
ENSMUSG00000102659	3691	0	0	0	0
ENSMUSG00000103924	4550	0	0	0	0
ENSMUSG00000104132	3625	0	0	0	0
ENSMUSG00000102747	3310	0	0	0	0
ENSMUSG00000102386	1017	0	0	0	0
ENSMUSG00000103004	330	0	0	0	0
ENSMUSG00000104516	1222	0	0	0	0
ENSMUSG00000101618	556	0	0	0	0
ENSMUSG00000099458	651	0	0	0	0
ENSMUSG00000088111	106	0	0	0	0
ENSMUSG00000073722	4318	0	0	0	0
ENSMUSG00000095256	119	0	0	0	0
ENSMUSG00000100310	417	0	0	0	0
ENSMUSG00000101514	2002	0	0	0	0
ENSMUSG00000101033	654	0	0	0	0
ENSMUSG00000101372	1873	0	0	0	0
ENSMUSG00000103241	1514	0	0	0	0
ENSMUSG00000086240	274	3	1	0	0
ENSMUSG00000048411	2887	1	0	1	0
ENSMUSG00000081557	2482	7	5	4	8
ENSMUSG00000058590	304	0	0	0	0
ENSMUSG00000101235	550	0	0	0	0
ENSMUSG00000064433	112	0	0	0	0
ENSMUSG00000080625	100	0	0	0	0
ENSMUSG00000080391	96	0	0	0	0
ENSMUSG00000099257	125	0	0	0	0
ENSMUSG00000099492	1312	0	0	0	0
ENSMUSG00000101726	622	0	0	0	0
ENSMUSG00000096829	110	0	0	0	0
ENSMUSG00000098883	107	0	0	0	0
ENSMUSG00000053185	1161	0	0	0	0
ENSMUSG00000100261	1210	0	0	0	0
ENSMUSG00000101180	328	0	0	0	0
ENSMUSG00000048874	7568	2632	1676	1544	1412
ENSMUSG00000103783	2884	1	1	2	1
ENSMUSG00000104315	3035	1	1	3	4
ENSMUSG00000026064	4145	2594	1568	2720	2244
ENSMUSG00000086151	724	0	0	0	0
ENSMUSG00000086726	727	0	0	0	0
ENSMUSG00000087346	723	0	0	0	0
ENSMUSG00000100371	881	0	0	0	0
ENSMUSG00000100237	585	0	0	0	0
ENSMUSG00000098529	138	0	0	0	0
ENSMUSG00000086727	1494	0	0	0	0
ENSMUSG00000100910	2858	0	0	0	0
ENSMUSG00000099796	225	0	0	0	0
ENSMUSG00000050217	1937	0	0	0	0
ENSMUSG00000026063	1451	0	0	0	0
ENSMUSG00000077664	127	0	0	0	0
ENSMUSG00000100205	559	0	0	0	0
ENSMUSG00000100592	564	0	0	0	0
ENSMUSG00000094215	696	0	0	0	0
ENSMUSG00000101093	1337	0	0	0	0
ENSMUSG00000070960	1513	9	3	3	2
ENSMUSG00000088620	107	0	0	0	0
ENSMUSG00000082159	835	0	0	0	0
ENSMUSG00000026058	10197	0	0	4	2
ENSMUSG00000064688	107	0	0	0	0
ENSMUSG00000103482	1809	0	0	0	0
ENSMUSG00000104498	1628	0	0	0	0
ENSMUSG00000104313	1545	0	0	0	0
ENSMUSG00000102865	1437	0	0	0	1
ENSMUSG00000102321	3413	0	0	0	0
ENSMUSG00000091318	3609	0	0	0	0
ENSMUSG00000089489	63	0	0	0	0
ENSMUSG00000104433	2470	0	0	0	0
ENSMUSG00000089395	292	0	0	0	0
ENSMUSG00000102926	5007	0	0	0	0
ENSMUSG00000100497	2131	0	0	0	0
ENSMUSG00000102917	1221	0	0	0	0
ENSMUSG00000100481	1789	0	0	0	0
ENSMUSG00000100590	751	0	0	0	0
ENSMUSG00000088750	110	0	0	0	0
ENSMUSG00000104230	650	0	0	0	0
ENSMUSG00000101754	1693	0	0	0	0
ENSMUSG00000065223	100	0	0	0	0
ENSMUSG00000100318	913	0	0	0	0
ENSMUSG00000101612	2255	0	0	0	0
ENSMUSG00000065260	106	0	0	0	0
ENSMUSG00000026134	1975	196	131	64	60
ENSMUSG00000101682	418	0	0	0	1
ENSMUSG00000102714	3075	2	0	0	0
ENSMUSG00000102093	328	1	1	0	0
ENSMUSG00000103746	889	2	0	0	1
ENSMUSG00000102198	2314	0	0	0	0
ENSMUSG00000004768	4500	577	323	265	263
ENSMUSG00000042215	1860	403	260	283	264
ENSMUSG00000103072	341	1	0	1	0
ENSMUSG00000042197	15479	1462	991	627	591
ENSMUSG00000081402	2557	3	0	2	0
ENSMUSG00000042182	2487	190	113	141	127
ENSMUSG00000104416	1628	2	1	1	4
ENSMUSG00000026131	31639	1035	724	751	673
ENSMUSG00000103888	23154	31	17	21	20
ENSMUSG00000103596	2384	1	1	0	1
ENSMUSG00000099382	334	0	0	0	0
ENSMUSG00000084506	93	0	0	0	0
ENSMUSG00000103364	1698	1	2	1	1
ENSMUSG00000105982	73	0	0	0	0
ENSMUSG00000103405	7920	0	0	0	0
ENSMUSG00000096992	1750	3	0	0	1
ENSMUSG00000104475	2225	19	8	7	9
ENSMUSG00000103001	1247	0	0	1	0
ENSMUSG00000104397	430	0	0	0	0
ENSMUSG00000102839	387	0	0	0	0
ENSMUSG00000101206	1162	0	0	0	0
ENSMUSG00000101462	2937	0	0	0	0
ENSMUSG00000102336	6263	0	0	0	0
ENSMUSG00000092852	79	0	0	0	0
ENSMUSG00000042111	1705	455	257	215	209
ENSMUSG00000101711	529	1	2	0	0
ENSMUSG00000026127	5836	586	387	286	252
ENSMUSG00000026126	1692	0	0	0	1
ENSMUSG00000100280	1022	0	0	0	0
ENSMUSG00000101223	1298	0	0	0	0
ENSMUSG00000026125	1267	0	0	0	0
ENSMUSG00000101116	292	0	0	0	0
ENSMUSG00000026124	1040	0	0	0	0
ENSMUSG00000101803	475	0	0	0	0
ENSMUSG00000037529	1275	0	0	0	0
ENSMUSG00000045815	510	0	0	0	0
ENSMUSG00000045174	4392	0	0	0	0
ENSMUSG00000100524	423	0	0	0	0
ENSMUSG00000102499	235	0	0	0	0
ENSMUSG00000103521	1396	0	0	0	0
ENSMUSG00000104098	646	0	0	0	0
ENSMUSG00000037509	7382	22	17	15	13
ENSMUSG00000106790	945	0	0	0	0
ENSMUSG00000102537	148	0	0	0	0
ENSMUSG00000102612	355	0	0	0	0
ENSMUSG00000104002	2549	9	8	3	4
ENSMUSG00000037503	5094	3143	2088	1412	1326
ENSMUSG00000104358	3036	14	19	9	10
ENSMUSG00000026123	7846	1800	1148	1125	1046
ENSMUSG00000103716	2137	0	0	0	0
ENSMUSG00000103548	229	0	0	0	0
ENSMUSG00000103760	436	0	0	0	0
ENSMUSG00000103997	235	0	0	0	0
ENSMUSG00000077231	129	0	0	0	0
ENSMUSG00000104417	640	0	2	0	0
ENSMUSG00000064601	105	0	0	0	0
ENSMUSG00000101714	452	0	0	0	0
ENSMUSG00000102531	566	0	0	0	0
ENSMUSG00000103096	904	0	0	0	0
ENSMUSG00000102279	463	0	0	0	0
ENSMUSG00000103708	654	0	0	0	0
ENSMUSG00000104201	425	0	0	0	0
ENSMUSG00000102434	1372	0	0	0	0
ENSMUSG00000045216	3719	726	466	419	369
ENSMUSG00000104523	447	0	0	0	0
ENSMUSG00000102202	4340	7	4	7	5
ENSMUSG00000037470	9033	3831	2362	3066	2934
ENSMUSG00000098752	62	0	0	0	0
ENSMUSG00000047180	3217	18	9	1867	1504
ENSMUSG00000037447	6058	393	257	811	676
ENSMUSG00000102762	713	1	0	0	1
ENSMUSG00000010453	4805	1605	1038	768	688
ENSMUSG00000098680	77	0	0	0	0
ENSMUSG00000037432	6315	128	88	38	36
ENSMUSG00000001143	3411	665	437	278	243
ENSMUSG00000037408	4547	236	167	141	155
ENSMUSG00000104316	2159	0	0	0	0
ENSMUSG00000106081	141	0	0	0	0
ENSMUSG00000001138	5292	604	294	277	260
ENSMUSG00000102845	269	0	0	0	0
ENSMUSG00000067653	2335	22	21	5	6
ENSMUSG00000103661	2256	3	0	0	2
ENSMUSG00000079610	2144	76	50	32	47
ENSMUSG00000026121	4260	1048	619	272	222
ENSMUSG00000087589	910	3	1	1	0
ENSMUSG00000046337	2433	2	1	1	2
ENSMUSG00000089906	345	0	0	0	0
ENSMUSG00000077939	75	0	0	0	0
ENSMUSG00000061518	865	1366	920	558	522
ENSMUSG00000037351	3248	2139	1345	1114	1074
ENSMUSG00000102416	387	0	0	0	0
ENSMUSG00000104237	1633	0	0	0	0
ENSMUSG00000106804	401	1	0	0	0
ENSMUSG00000026117	2245	16	10	3	3
ENSMUSG00000097291	1012	0	0	0	0
ENSMUSG00000026116	6701	1708	1115	714	712
ENSMUSG00000103016	143	1	0	0	1
ENSMUSG00000102930	2413	0	1	0	0
ENSMUSG00000103159	3552	1	0	0	0
ENSMUSG00000080054	498	0	0	0	0
ENSMUSG00000095944	119	0	0	0	0
ENSMUSG00000050122	3319	0	0	0	0
ENSMUSG00000103603	992	0	0	0	0
ENSMUSG00000026114	3731	0	0	1	0
ENSMUSG00000102231	346	0	0	0	0
ENSMUSG00000026113	7717	460	290	215	185
ENSMUSG00000086064	739	0	0	0	0
ENSMUSG00000102879	534	0	0	0	0
ENSMUSG00000026112	3863	2004	1359	1020	911
ENSMUSG00000026111	1445	669	427	317	300
ENSMUSG00000026110	7368	13	4	4	3
ENSMUSG00000103948	2755	0	0	0	0
ENSMUSG00000087233	1790	0	0	0	0
ENSMUSG00000026090	4634	0	0	0	0
ENSMUSG00000089767	560	0	0	0	0
ENSMUSG00000104365	1926	0	0	0	0
ENSMUSG00000102650	2218	0	0	0	0
ENSMUSG00000060771	7665	255	175	99	90
ENSMUSG00000097268	3089	0	1	0	0
ENSMUSG00000037216	1485	78	65	44	40
ENSMUSG00000026088	1556	365	248	642	624
ENSMUSG00000026087	973	555	418	421	416
ENSMUSG00000061584	2564	0	0	0	0
ENSMUSG00000087374	3990	3	0	4	2
ENSMUSG00000026085	803	0	0	0	0
ENSMUSG00000089141	237	0	0	0	0
ENSMUSG00000058407	6602	1230	816	656	624
ENSMUSG00000026083	7797	3473	2266	1564	1507
ENSMUSG00000026082	4262	531	353	463	370
ENSMUSG00000103804	701	17	5	9	10
ENSMUSG00000102716	1848	0	0	0	0
ENSMUSG00000037138	6014	278	181	12	8
ENSMUSG00000085391	437	0	0	0	0
ENSMUSG00000085280	639	2	1	0	1
ENSMUSG00000087131	1853	0	0	0	0
ENSMUSG00000102984	529	0	0	0	0
ENSMUSG00000102541	502	0	0	0	0
ENSMUSG00000103531	503	0	0	0	0
ENSMUSG00000048814	6932	2	0	2	3
ENSMUSG00000026080	5071	69	22	11	14
ENSMUSG00000103647	325	0	0	0	0
ENSMUSG00000102447	772	0	0	0	0
ENSMUSG00000067604	1001	0	0	0	0
ENSMUSG00000026078	3914	1221	765	529	527
ENSMUSG00000103046	1639	37	33	28	18
ENSMUSG00000104188	1843	0	0	0	0
ENSMUSG00000103182	2087	0	0	0	0
ENSMUSG00000098833	97	0	0	0	0
ENSMUSG00000026077	4236	5	2	2	2
ENSMUSG00000092553	283	0	0	0	0
ENSMUSG00000092563	555	0	0	0	0
ENSMUSG00000073702	1498	5008	3630	2715	2601
ENSMUSG00000003134	4862	140	92	66	47
ENSMUSG00000102607	885	0	0	0	0
ENSMUSG00000065629	215	0	0	0	0
ENSMUSG00000104827	216	0	0	0	0
ENSMUSG00000003135	3482	629	409	243	232
ENSMUSG00000085894	1832	13	7	24	14
ENSMUSG00000077704	110	3	3	3	1
ENSMUSG00000048234	2492	322	208	466	407
ENSMUSG00000064936	130	0	1	0	0
ENSMUSG00000102471	589	0	0	0	0
ENSMUSG00000050967	6091	4	2	8	7
ENSMUSG00000097083	3663	0	1	1	0
ENSMUSG00000057173	2008	2	2	0	0
ENSMUSG00000091937	352	0	0	0	0
ENSMUSG00000101634	1064	0	0	0	0
ENSMUSG00000026074	6076	7442	4735	5571	4910
ENSMUSG00000102985	1330	1	0	0	0
ENSMUSG00000026073	1419	0	1	0	0
ENSMUSG00000097899	842	2	0	0	0
ENSMUSG00000102975	3071	0	0	0	0
ENSMUSG00000026072	6115	1434	904	134	157
